State	series_id	year	month	value	month_year
Georgia	LAUCN130070000000004          	2017	6	76.0	06_2017
Georgia	LAUCN130070000000004          	2018	6	67.0	06_2018
Georgia	LAUCN130070000000004          	2019	6	57.0	06_2019
Georgia	LAUCN130070000000004          	2020	6	81.0	06_2020
Georgia	LAUCN130070000000005          	2015	6	1042.0	06_2015
Georgia	LAUCN130070000000005          	2016	6	1103.0	06_2016
Georgia	LAUCN130070000000005          	2017	6	1192.0	06_2017
Georgia	LAUCN130070000000005          	2018	6	1117.0	06_2018
Georgia	LAUCN130070000000005          	2019	6	1056.0	06_2019
Georgia	LAUCN130070000000005          	2020	6	1034.0	06_2020
Georgia	LAUCN130070000000006          	2015	6	1126.0	06_2015
Georgia	LAUCN130070000000006          	2016	6	1197.0	06_2016
Georgia	LAUCN130070000000006          	2017	6	1268.0	06_2017
Georgia	LAUCN130070000000006          	2018	6	1184.0	06_2018
Georgia	LAUCN130070000000006          	2019	6	1113.0	06_2019
Georgia	LAUCN130070000000006          	2020	6	1115.0	06_2020
Georgia	LAUCN130090000000003          	2015	6	8.8	06_2015
Georgia	LAUCN130090000000003          	2016	6	7.8	06_2016
Georgia	LAUCN130090000000003          	2017	6	6.5	06_2017
Georgia	LAUCN130090000000003          	2018	6	5.6	06_2018
Georgia	LAUCN130090000000003          	2019	6	4.8	06_2019
Georgia	LAUCN130090000000003          	2020	6	8.6	06_2020
Georgia	LAUCN130090000000004          	2015	6	1540.0	06_2015
Georgia	LAUCN130090000000004          	2016	6	1374.0	06_2016
Georgia	LAUCN130090000000004          	2017	6	1156.0	06_2017
Georgia	LAUCN130090000000004          	2018	6	999.0	06_2018
Georgia	LAUCN130090000000004          	2019	6	855.0	06_2019
Georgia	LAUCN130090000000004          	2020	6	1500.0	06_2020
Georgia	LAUCN130090000000005          	2015	6	15993.0	06_2015
Georgia	LAUCN130090000000005          	2016	6	16171.0	06_2016
Georgia	LAUCN130090000000005          	2017	6	16624.0	06_2017
Georgia	LAUCN130090000000005          	2018	6	16958.0	06_2018
Georgia	LAUCN130090000000005          	2019	6	16892.0	06_2019
Georgia	LAUCN130090000000005          	2020	6	15906.0	06_2020
Georgia	LAUCN130090000000006          	2015	6	17533.0	06_2015
Georgia	LAUCN130090000000006          	2016	6	17545.0	06_2016
Georgia	LAUCN130090000000006          	2017	6	17780.0	06_2017
Georgia	LAUCN130090000000006          	2018	6	17957.0	06_2018
Georgia	LAUCN130090000000006          	2019	6	17747.0	06_2019
Georgia	LAUCN130090000000006          	2020	6	17406.0	06_2020
Georgia	LAUCN130110000000003          	2015	6	6.1	06_2015
Georgia	LAUCN130110000000003          	2016	6	5.3	06_2016
Georgia	LAUCN130110000000003          	2017	6	4.1	06_2017
Georgia	LAUCN130110000000003          	2018	6	3.6	06_2018
Georgia	LAUCN130110000000003          	2019	6	3.2	06_2019
Georgia	LAUCN130110000000003          	2020	6	5.2	06_2020
Georgia	LAUCN130110000000004          	2015	6	500.0	06_2015
Georgia	LAUCN130110000000004          	2016	6	471.0	06_2016
Georgia	LAUCN130110000000004          	2017	6	384.0	06_2017
Georgia	LAUCN130110000000004          	2018	6	349.0	06_2018
Georgia	LAUCN130110000000004          	2019	6	308.0	06_2019
Georgia	LAUCN130110000000004          	2020	6	498.0	06_2020
Georgia	LAUCN130110000000005          	2015	6	7654.0	06_2015
Georgia	LAUCN130110000000005          	2016	6	8421.0	06_2016
Georgia	LAUCN130110000000005          	2017	6	9012.0	06_2017
Georgia	LAUCN130110000000005          	2018	6	9249.0	06_2018
Georgia	LAUCN130110000000005          	2019	6	9345.0	06_2019
Georgia	LAUCN130110000000005          	2020	6	9084.0	06_2020
Georgia	LAUCN130110000000006          	2015	6	8154.0	06_2015
Georgia	LAUCN130110000000006          	2016	6	8892.0	06_2016
Georgia	LAUCN130110000000006          	2017	6	9396.0	06_2017
Georgia	LAUCN130110000000006          	2018	6	9598.0	06_2018
Georgia	LAUCN130110000000006          	2019	6	9653.0	06_2019
Georgia	LAUCN130110000000006          	2020	6	9582.0	06_2020
Georgia	LAUCN130130000000003          	2015	6	5.7	06_2015
Georgia	LAUCN130130000000003          	2016	6	5.1	06_2016
Georgia	LAUCN130130000000003          	2017	6	4.4	06_2017
Georgia	LAUCN130130000000003          	2018	6	3.7	06_2018
Georgia	LAUCN130130000000003          	2019	6	3.2	06_2019
Georgia	LAUCN130130000000003          	2020	6	6.4	06_2020
Georgia	LAUCN130130000000004          	2015	6	2051.0	06_2015
Georgia	LAUCN130130000000004          	2016	6	1919.0	06_2016
Georgia	LAUCN130130000000004          	2017	6	1755.0	06_2017
Georgia	LAUCN130130000000004          	2018	6	1510.0	06_2018
Georgia	LAUCN130130000000004          	2019	6	1334.0	06_2019
Georgia	LAUCN130130000000004          	2020	6	2552.0	06_2020
